Teacher,Class,Registered,Attended,Class Time
George Martin,English - Language 1,115,76,15:00:00
Amy Roebuck,History - World History AP,42,14,15:30:00
Harry James,Science - Biology 2,137,28,14:00:00
Bill Sluss,Gym 2,59,5,09:00:00
John Jacob,Health 3A,126,121,13:30:00
Jim Jeffs,Technology - Programming  2,131,53,09:00:00
Jessica Taylor,Math - Algebra 2,23,12,11:30:00
Jake Anderson,English - Language 2,38,25,13:30:00
Beverly Thomas,History - US History AP,12,2,13:30:00
Rick White,Science - Geology 2,42,6,12:30:00
James Harris,Gym 1,15,15,11:00:00
George Martin,Health 3B,53,11,15:00:00
Amy Roebuck,Technology - Networking 1,112,73,11:30:00
Harry James,Technology - Networking 2,42,4,10:00:00
Bill Sluss,Technology - Networking 3,77,24,16:00:00
John Jacob,Science - Biology 3,23,23,16:00:00
Jim Jeffs,Science - Biology 4,136,32,09:30:00
Jessica Taylor,Science - Biology 1,44,21,08:30:00
Jake Anderson,Health 3A,64,51,12:30:00
Beverly Thomas,Health 2,122,28,11:30:00
Rick White,Health 1,6,2,09:30:00
James Harris,Science - Geology 1,77,77,13:30:00
George Martin,History - World History AP,146,33,13:30:00
Amy Roebuck,English - Language 2,55,12,15:00:00
Harry James,Math - Algebra 2,62,12,13:00:00
Bill Sluss,Technology - Programming  1,74,18,09:00:00
John Jacob,Technology - Programming  3,81,72,14:00:00
Jim Jeffs,Math - Algebra 1,108,108,15:30:00
Jessica Taylor,English - Language 1,12,12,16:00:00
Jake Anderson,History - World History AP,147,85,16:00:00
Beverly Thomas,Science - Biology 2,118,22,12:00:00
Rick White,Gym 2,99,11,12:00:00
James Harris,Health 3A,49,9,09:00:00
George Martin,Technology - Programming  2,137,44,15:30:00
Amy Roebuck,Math - Algebra 2,131,62,16:00:00
Harry James,English - Language 2,100,5,08:00:00
Bill Sluss,History - US History AP,11,2,08:30:00
John Jacob,Science - Geology 2,93,22,09:30:00
Jim Jeffs,Gym 1,72,72,15:00:00
Jessica Taylor,Health 3B,112,64,11:30:00
Jake Anderson,Technology - Networking 1,100,100,08:30:00
Beverly Thomas,Technology - Networking 2,41,8,13:30:00
Rick White,Technology - Networking 3,132,34,14:30:00
James Harris,Science - Biology 3,119,33,08:30:00
George Martin,Science - Biology 4,130,10,08:00:00
Amy Roebuck,Science - Biology 1,66,35,13:30:00
Harry James,Health 3A,142,19,09:00:00
Bill Sluss,Health 2,117,12,08:00:00
John Jacob,Health 1,142,103,08:00:00
Jim Jeffs,Science - Geology 1,56,44,10:30:00
Jessica Taylor,History - World History AP,53,33,16:00:00
Jake Anderson,English - Language 2,93,93,15:00:00
Beverly Thomas,Math - Algebra 2,36,6,12:30:00
Rick White,Technology - Programming  1,149,73,09:30:00
James Harris,Technology - Programming  3,56,34,12:00:00
George Martin,Math - Algebra 1,121,61,16:00:00
Amy Roebuck,English - Language 1,49,22,10:30:00
Harry James,History - World History AP,12,3,14:00:00
Bill Sluss,Science - Biology 2,22,9,16:00:00
John Jacob,Gym 2,50,36,13:30:00
Jim Jeffs,Health 3A,74,74,14:30:00
Jessica Taylor,Technology - Programming  2,27,23,16:00:00
Jake Anderson,Math - Algebra 2,47,21,14:00:00
Beverly Thomas,English - Language 2,5,2,14:30:00
Rick White,History - US History AP,36,7,10:00:00
James Harris,Science - Geology 2,13,9,12:30:00
George Martin,Gym 1,32,12,08:00:00
Amy Roebuck,Health 3B,73,16,11:00:00
Harry James,Technology - Networking 1,85,49,11:30:00
Bill Sluss,Technology - Networking 2,55,5,08:00:00
John Jacob,Technology - Networking 3,34,22,14:30:00
Jim Jeffs,Science - Biology 3,138,138,14:00:00
Jessica Taylor,Science - Biology 4,89,17,09:30:00
Jake Anderson,Science - Biology 1,28,28,11:30:00
Beverly Thomas,Health 3A,37,11,13:00:00
Rick White,Health 2,71,10,10:30:00
James Harris,Health 1,90,90,10:00:00
George Martin,Science - Geology 1,41,11,10:30:00
Amy Roebuck,History - World History AP,109,16,11:30:00
Harry James,English - Language 2,75,12,15:30:00
Bill Sluss,Math - Algebra 2,116,28,16:00:00
John Jacob,Technology - Programming  1,79,79,09:30:00
Jim Jeffs,Technology - Programming  3,133,85,14:00:00
Jessica Taylor,Math - Algebra 1,143,143,15:30:00
Jake Anderson,English - Language 1,13,13,16:00:00
Beverly Thomas,History - World History AP,43,9,14:00:00
Rick White,Science - Biology 2,116,20,10:00:00
James Harris,Gym 2,66,66,15:30:00
George Martin,Health 3A,82,16,15:00:00
Amy Roebuck,Technology - Programming  2,13,5,15:00:00
Harry James,Math - Algebra 2,32,2,08:30:00
Bill Sluss,English - Language 2,146,22,09:30:00
John Jacob,History - US History AP,116,90,16:00:00
Jim Jeffs,Science - Geology 2,19,7,10:00:00
Jessica Taylor,Gym 1,96,96,11:30:00
Jake Anderson,Health 3B,68,15,10:30:00
Beverly Thomas,Technology - Networking 1,106,50,10:30:00
Rick White,Technology - Networking 2,42,5,10:30:00
James Harris,Technology - Networking 3,55,51,13:00:00
George Martin,Science - Biology 3,132,11,08:30:00
Amy Roebuck,Science - Biology 4,114,19,10:30:00
Harry James,Science - Biology 1,118,95,12:00:00
Bill Sluss,Health 3A,139,22,10:00:00
John Jacob,Health 2,115,84,12:30:00
Jim Jeffs,Health 1,75,75,09:00:00
Jessica Taylor,Science - Geology 1,50,50,14:00:00
Jake Anderson,History - World History AP,86,27,11:30:00
Beverly Thomas,English - Language 2,12,4,13:00:00
Rick White,Math - Algebra 2,9,2,13:30:00
James Harris,Technology - Programming  1,9,9,14:00:00
George Martin,Technology - Programming  3,71,11,15:00:00
Amy Roebuck,Math - Algebra 1,86,50,15:30:00
Harry James,English - Language 1,31,24,15:00:00
Bill Sluss,History - World History AP,45,15,15:30:00
John Jacob,Science - Biology 2,41,11,08:00:00
Jim Jeffs,Gym 2,15,12,12:30:00
Jessica Taylor,Health 3A,145,137,13:30:00
Jake Anderson,Technology - Programming  2,114,114,15:30:00
Beverly Thomas,Math - Algebra 2,120,18,09:30:00
Rick White,English - Language 2,83,13,11:00:00
James Harris,History - US History AP,80,64,13:00:00
George Martin,Science - Geology 2,57,17,16:00:00
Amy Roebuck,Gym 1,21,4,10:00:00
Harry James,Health 3B,90,9,08:00:00
Bill Sluss,Technology - Networking 1,92,21,08:00:00
John Jacob,Technology - Networking 2,147,114,14:30:00
Jim Jeffs,Technology - Networking 3,150,39,10:00:00
Jessica Taylor,Science - Biology 3,117,51,12:00:00
Jake Anderson,Science - Biology 4,43,36,14:30:00
Beverly Thomas,Science - Biology 1,146,146,16:00:00
Rick White,Health 3A,120,30,12:30:00
James Harris,Health 2,109,22,09:30:00
George Martin,Health 1,45,14,12:00:00
Amy Roebuck,Science - Geology 1,65,31,14:30:00
Harry James,History - World History AP,74,25,13:30:00
Bill Sluss,English - Language 2,130,21,10:00:00
John Jacob,Math - Algebra 2,103,82,13:30:00
Jim Jeffs,Technology - Programming  1,143,143,13:30:00
Jessica Taylor,Technology - Programming  3,19,6,10:30:00
Jake Anderson,Math - Algebra 1,63,60,12:00:00
Beverly Thomas,English - Language 1,92,57,16:00:00
Rick White,History - World History AP,136,22,11:00:00
James Harris,Science - Biology 2,12,7,11:00:00
George Martin,Gym 2,36,4,11:30:00
Amy Roebuck,Health 3A,8,1,10:30:00
Harry James,Technology - Programming  2,145,13,08:00:00
Bill Sluss,Math - Algebra 2,69,16,14:00:00
John Jacob,English - Language 2,41,12,08:30:00
Jim Jeffs,History - US History AP,74,43,15:00:00
Jessica Taylor,Science - Geology 2,70,17,08:00:00
Jake Anderson,Gym 1,23,23,10:30:00
Beverly Thomas,Health 3B,36,6,09:30:00
Rick White,Technology - Networking 1,7,2,09:00:00
James Harris,Technology - Networking 2,88,31,08:30:00
George Martin,Technology - Networking 3,75,12,12:00:00
Amy Roebuck,Science - Biology 3,6,2,11:30:00
Harry James,Science - Biology 4,75,7,10:00:00
Bill Sluss,Science - Biology 1,116,101,12:30:00
John Jacob,Health 3A,75,45,13:00:00
Jim Jeffs,Health 2,99,68,13:00:00
Jessica Taylor,Health 1,84,65,09:00:00
Jake Anderson,Science - Geology 1,115,115,13:30:00
Beverly Thomas,History - World History AP,53,8,09:30:00
Rick White,English - Language 2,20,8,15:30:00
James Harris,Math - Algebra 2,81,32,12:30:00
George Martin,Technology - Programming  1,112,53,13:30:00
Amy Roebuck,Technology - Programming  3,29,9,12:30:00
Harry James,Math - Algebra 1,89,89,16:00:00
Bill Sluss,English - Language 1,91,42,14:30:00
John Jacob,History - World History AP,121,85,11:30:00
Jim Jeffs,Science - Biology 2,10,8,14:00:00
Jessica Taylor,Gym 2,49,30,12:30:00
Jake Anderson,Health 3A,81,49,11:00:00
Beverly Thomas,Technology - Programming  2,90,31,13:30:00
Rick White,Math - Algebra 2,36,8,11:00:00
James Harris,English - Language 2,148,131,12:30:00
George Martin,History - US History AP,44,11,13:30:00
Amy Roebuck,Science - Geology 2,64,14,15:30:00
Harry James,Gym 1,6,3,09:30:00
Bill Sluss,Health 3B,132,38,12:30:00
John Jacob,Technology - Networking 1,55,55,12:30:00
Jim Jeffs,Technology - Networking 2,31,14,10:00:00
Jessica Taylor,Technology - Networking 3,75,20,08:00:00
Jake Anderson,Science - Biology 3,92,40,12:00:00
Beverly Thomas,Science - Biology 4,93,16,13:30:00
Rick White,Science - Biology 1,33,6,08:30:00
James Harris,Health 3A,108,108,15:30:00
George Martin,Health 2,46,4,11:00:00
Amy Roebuck,Health 1,49,13,11:00:00
Harry James,Science - Geology 1,97,62,12:30:00
Bill Sluss,History - World History AP,7,1,09:00:00
John Jacob,English - Language 2,91,12,08:00:00
Jim Jeffs,Math - Algebra 2,146,146,16:00:00
Jessica Taylor,Technology - Programming  1,31,31,12:30:00
Jake Anderson,Technology - Programming  3,12,4,08:30:00
Beverly Thomas,Math - Algebra 1,63,29,15:30:00
Rick White,English - Language 1,35,31,12:30:00
James Harris,History - World History AP,6,6,16:00:00
George Martin,Science - Biology 2,41,7,09:00:00
Amy Roebuck,Gym 2,91,7,08:30:00
Harry James,Health 3A,143,35,11:30:00
Bill Sluss,Technology - Programming  2,74,9,13:30:00
John Jacob,Math - Algebra 2,130,75,15:00:00
Jim Jeffs,English - Language 2,70,70,15:30:00
Jessica Taylor,History - US History AP,68,17,10:30:00
Jake Anderson,Science - Geology 2,78,23,08:00:00
Beverly Thomas,Gym 1,59,36,15:30:00
Rick White,Health 3B,150,21,10:00:00
James Harris,Technology - Networking 1,18,18,11:30:00
George Martin,Technology - Networking 2,147,16,09:30:00
Amy Roebuck,Technology - Networking 3,101,28,13:30:00
Harry James,Science - Biology 3,27,3,09:00:00
Bill Sluss,Science - Biology 4,15,3,15:00:00
John Jacob,Science - Biology 1,81,81,11:00:00
Jim Jeffs,Health 3A,114,57,09:30:00
Jessica Taylor,Health 2,107,45,10:00:00
Jake Anderson,Health 1,118,118,16:00:00
Beverly Thomas,Science - Geology 1,89,53,10:30:00
Rick White,History - World History AP,76,11,11:00:00
James Harris,English - Language 2,126,116,14:30:00
George Martin,Math - Algebra 2,76,25,15:30:00
Amy Roebuck,Technology - Programming  1,96,60,15:00:00
Harry James,Technology - Programming  3,45,4,09:30:00
Bill Sluss,Math - Algebra 1,75,18,11:00:00
John Jacob,English - Language 1,27,27,14:00:00
Jim Jeffs,History - World History AP,145,117,16:00:00
Jessica Taylor,Science - Biology 2,11,6,12:00:00
Jake Anderson,Gym 2,137,35,08:00:00
Beverly Thomas,Health 3A,9,2,11:00:00
Rick White,Technology - Programming  2,110,47,15:30:00
James Harris,Math - Algebra 2,34,27,13:30:00
George Martin,English - Language 2,121,32,12:30:00
Amy Roebuck,History - US History AP,73,12,11:00:00
Harry James,Science - Geology 2,66,25,15:00:00
Bill Sluss,Gym 1,97,22,08:30:00
John Jacob,Health 3B,84,37,15:00:00
Jim Jeffs,Technology - Networking 1,15,15,15:00:00
Jessica Taylor,Technology - Networking 2,56,53,13:00:00
Jake Anderson,Technology - Networking 3,129,81,13:00:00
Beverly Thomas,Science - Biology 3,100,24,11:30:00
Rick White,Science - Biology 4,100,36,15:00:00
James Harris,Science - Biology 1,68,68,10:00:00
George Martin,Health 3A,121,55,15:30:00
Amy Roebuck,Health 2,33,2,08:00:00
Harry James,Health 1,100,34,10:00:00
Bill Sluss,Science - Geology 1,43,16,12:00:00
John Jacob,History - World History AP,58,13,08:00:00
Jim Jeffs,English - Language 2,26,10,09:30:00
Jessica Taylor,Math - Algebra 2,114,114,14:00:00
Jake Anderson,Technology - Programming  1,79,79,16:00:00
Beverly Thomas,Technology - Programming  3,88,31,14:00:00
Rick White,Math - Algebra 1,121,121,15:30:00
James Harris,English - Language 1,44,44,08:30:00
George Martin,History - World History AP,11,2,09:00:00
Amy Roebuck,Science - Biology 2,11,3,13:30:00
Harry James,Gym 2,131,23,10:00:00
Bill Sluss,Health 3A,110,27,16:00:00
John Jacob,Technology - Programming  2,50,18,08:00:00
Jim Jeffs,Math - Algebra 2,73,31,12:30:00
Jessica Taylor,English - Language 2,100,39,11:00:00
Jake Anderson,History - US History AP,146,30,08:30:00
Beverly Thomas,Science - Geology 2,140,17,08:00:00
Rick White,Gym 1,60,23,10:00:00
James Harris,Health 3B,127,84,13:00:00
George Martin,Technology - Networking 1,104,29,09:00:00
Amy Roebuck,Technology - Networking 2,14,5,14:00:00
Harry James,Technology - Networking 3,120,13,10:00:00
Bill Sluss,Science - Biology 3,128,11,09:00:00
John Jacob,Science - Biology 4,68,36,10:00:00
Jim Jeffs,Science - Biology 1,136,89,08:00:00
Jessica Taylor,Health 3A,59,58,14:30:00
Jake Anderson,Health 2,11,8,12:30:00
Beverly Thomas,Health 1,144,81,15:30:00
Rick White,Science - Geology 1,46,14,12:00:00
James Harris,History - World History AP,16,11,11:00:00
George Martin,English - Language 2,81,19,12:30:00
Amy Roebuck,Math - Algebra 2,20,7,13:30:00
Harry James,Technology - Programming  1,52,24,10:30:00
Bill Sluss,Technology - Programming  3,106,51,16:00:00
John Jacob,Math - Algebra 1,143,143,13:00:00
Jim Jeffs,English - Language 1,105,105,16:00:00
Jessica Taylor,History - World History AP,44,14,08:30:00
Jake Anderson,Science - Biology 2,43,21,13:00:00
Beverly Thomas,Gym 2,92,13,08:30:00
Rick White,Health 3A,74,6,10:30:00
James Harris,Technology - Programming  2,113,79,15:00:00
George Martin,Math - Algebra 2,107,30,13:00:00
Amy Roebuck,English - Language 2,55,11,12:30:00
Harry James,History - US History AP,68,9,11:30:00
Bill Sluss,Science - Geology 2,110,5,08:00:00
John Jacob,Gym 1,30,28,09:00:00
Jim Jeffs,Health 3B,82,51,14:00:00
Jessica Taylor,Technology - Networking 1,131,131,11:30:00
Jake Anderson,Technology - Networking 2,82,77,13:00:00
Beverly Thomas,Technology - Networking 3,60,5,10:30:00
Rick White,Science - Biology 3,6,3,15:30:00
James Harris,Science - Biology 4,148,120,15:00:00
George Martin,Science - Biology 1,110,33,10:00:00
Amy Roebuck,Health 3A,37,14,15:30:00
Harry James,Health 2,103,17,11:30:00
Bill Sluss,Health 1,100,31,09:00:00
John Jacob,Science - Geology 1,53,23,08:00:00
Jim Jeffs,History - World History AP,40,8,08:30:00
Jessica Taylor,English - Language 2,142,58,09:00:00
Jake Anderson,Math - Algebra 2,55,15,09:30:00
Beverly Thomas,Technology - Programming  1,134,113,14:00:00
Rick White,Technology - Programming  3,40,5,08:00:00
James Harris,Math - Algebra 1,62,62,13:30:00
George Martin,English - Language 1,131,129,13:30:00
Amy Roebuck,History - World History AP,31,3,08:30:00
Harry James,Science - Biology 2,40,13,14:30:00
Bill Sluss,Gym 2,44,5,10:00:00
John Jacob,Health 3A,123,42,08:00:00
Jim Jeffs,Technology - Programming  2,111,47,11:00:00
Jessica Taylor,Math - Algebra 2,43,43,16:00:00
Jake Anderson,English - Language 2,150,110,16:00:00
Beverly Thomas,History - US History AP,91,19,10:30:00
Rick White,Science - Geology 2,111,26,11:00:00
James Harris,Gym 1,121,77,08:00:00
George Martin,Health 3B,129,32,15:00:00
Amy Roebuck,Technology - Networking 1,146,146,16:00:00
Harry James,Technology - Networking 2,148,14,08:00:00
Bill Sluss,Technology - Networking 3,76,10,13:30:00
John Jacob,Science - Biology 3,126,62,09:30:00
Jim Jeffs,Science - Biology 4,41,41,15:30:00
Jessica Taylor,Science - Biology 1,17,17,09:30:00
Jake Anderson,Health 3A,109,45,12:30:00
Beverly Thomas,Health 2,143,27,12:30:00
Rick White,Health 1,48,42,15:30:00
James Harris,Science - Geology 1,97,97,15:00:00
George Martin,History - World History AP,117,18,11:30:00
Amy Roebuck,English - Language 2,110,10,08:30:00
Harry James,Math - Algebra 2,104,17,10:30:00
Bill Sluss,Technology - Programming  1,28,11,14:00:00
John Jacob,Technology - Programming  3,15,9,13:00:00
Jim Jeffs,Math - Algebra 1,30,30,16:00:00
Jessica Taylor,English - Language 1,78,78,15:30:00
Jake Anderson,History - World History AP,96,37,09:30:00
Beverly Thomas,Science - Biology 2,5,1,08:30:00
Rick White,Gym 2,49,5,11:00:00
James Harris,Health 3A,138,66,11:00:00
George Martin,Technology - Programming  2,77,6,08:00:00
Amy Roebuck,Math - Algebra 2,150,28,11:00:00
Harry James,English - Language 2,141,21,10:00:00
Bill Sluss,History - US History AP,100,8,08:30:00
John Jacob,Science - Geology 2,138,33,10:00:00
Jim Jeffs,Gym 1,65,65,10:30:00
Jessica Taylor,Health 3B,145,103,14:30:00
Jake Anderson,Technology - Networking 1,110,65,09:00:00
Beverly Thomas,Technology - Networking 2,134,28,14:00:00
Rick White,Technology - Networking 3,49,10,12:00:00
James Harris,Science - Biology 3,29,7,09:00:00
George Martin,Science - Biology 4,100,17,09:30:00
Amy Roebuck,Science - Biology 1,37,16,12:00:00
Harry James,Health 3A,20,5,14:00:00
Bill Sluss,Health 2,11,4,14:00:00
John Jacob,Health 1,135,135,09:00:00
Jim Jeffs,Science - Geology 1,91,91,15:00:00
Jessica Taylor,History - World History AP,98,20,08:30:00
Jake Anderson,English - Language 2,7,3,09:30:00
Beverly Thomas,Math - Algebra 2,18,2,08:00:00
Rick White,Technology - Programming  1,100,40,09:00:00
James Harris,Technology - Programming  3,89,64,12:00:00
George Martin,Math - Algebra 1,110,74,13:00:00
Amy Roebuck,English - Language 1,19,13,13:30:00
Harry James,History - World History AP,104,32,15:30:00
Bill Sluss,Science - Biology 2,138,44,16:00:00
John Jacob,Gym 2,27,9,11:30:00
Jim Jeffs,Health 3A,62,42,11:00:00
Jessica Taylor,Technology - Programming  2,100,81,14:30:00
Jake Anderson,Math - Algebra 2,32,7,09:00:00
Beverly Thomas,English - Language 2,116,29,15:00:00
Rick White,History - US History AP,48,7,09:30:00
James Harris,Science - Geology 2,50,27,10:30:00
George Martin,Gym 1,118,112,16:00:00
Amy Roebuck,Health 3B,22,5,11:30:00
Harry James,Technology - Networking 1,135,87,12:00:00
Bill Sluss,Technology - Networking 2,30,3,09:30:00
John Jacob,Technology - Networking 3,18,8,11:00:00
Jim Jeffs,Science - Biology 3,74,19,10:30:00
Jessica Taylor,Science - Biology 4,30,30,15:00:00
Jake Anderson,Science - Biology 1,52,52,12:00:00
Beverly Thomas,Health 3A,132,54,15:00:00
Rick White,Health 2,91,13,11:30:00
James Harris,Health 1,105,105,14:30:00
George Martin,Science - Geology 1,37,16,14:30:00
Amy Roebuck,History - World History AP,138,30,11:00:00
Harry James,English - Language 2,15,3,15:30:00
Bill Sluss,Math - Algebra 2,59,13,15:30:00
John Jacob,Technology - Programming  1,17,17,13:30:00
Jim Jeffs,Technology - Programming  3,40,38,13:30:00
Jessica Taylor,Math - Algebra 1,13,13,13:30:00
Jake Anderson,English - Language 1,24,24,13:30:00
Beverly Thomas,History - World History AP,22,3,08:00:00
Rick White,Science - Biology 2,48,4,09:00:00
James Harris,Gym 2,52,32,10:30:00
George Martin,Health 3A,11,3,12:00:00
Amy Roebuck,Technology - Programming  2,122,12,12:30:00
Harry James,Math - Algebra 2,104,17,10:00:00
Bill Sluss,English - Language 2,47,12,12:30:00
John Jacob,History - US History AP,144,31,08:00:00
Jim Jeffs,Science - Geology 2,8,6,14:00:00
Jessica Taylor,Gym 1,20,20,13:00:00
Jake Anderson,Health 3B,13,6,14:00:00
Beverly Thomas,Technology - Networking 1,74,55,12:30:00
Rick White,Technology - Networking 2,115,18,12:30:00
James Harris,Technology - Networking 3,121,34,09:30:00
George Martin,Science - Biology 3,85,11,13:00:00
Amy Roebuck,Science - Biology 4,145,19,10:30:00
Harry James,Science - Biology 1,70,60,13:30:00
Bill Sluss,Health 3A,102,14,09:00:00
John Jacob,Health 2,134,134,15:30:00
Jim Jeffs,Health 1,46,46,15:30:00
Jessica Taylor,Science - Geology 1,36,36,14:00:00
Jake Anderson,History - World History AP,108,62,13:00:00
Beverly Thomas,English - Language 2,89,7,09:00:00
Rick White,Math - Algebra 2,145,11,08:00:00
James Harris,Technology - Programming  1,19,19,09:00:00
George Martin,Technology - Programming  3,12,2,08:00:00
Amy Roebuck,Math - Algebra 1,33,33,16:00:00
Harry James,English - Language 1,55,30,12:30:00
Bill Sluss,History - World History AP,77,17,15:00:00
John Jacob,Science - Biology 2,85,20,08:30:00
Jim Jeffs,Gym 2,77,67,14:30:00
Jessica Taylor,Health 3A,46,38,13:30:00
Jake Anderson,Technology - Programming  2,118,47,13:30:00
Beverly Thomas,Math - Algebra 2,15,3,11:30:00
Rick White,English - Language 2,100,37,15:30:00
James Harris,History - US History AP,58,22,09:00:00
George Martin,Science - Geology 2,49,17,14:30:00
Amy Roebuck,Gym 1,114,19,08:30:00
Harry James,Health 3B,115,14,09:30:00
Bill Sluss,Technology - Networking 1,103,86,13:30:00
John Jacob,Technology - Networking 2,105,105,14:30:00
Jim Jeffs,Technology - Networking 3,116,77,13:30:00
Jessica Taylor,Science - Biology 3,9,3,12:00:00
Jake Anderson,Science - Biology 4,14,9,16:00:00
Beverly Thomas,Science - Biology 1,20,18,14:30:00
Rick White,Health 3A,123,20,10:00:00
James Harris,Health 2,6,5,11:30:00
George Martin,Health 1,142,91,11:30:00
Amy Roebuck,Science - Geology 1,127,127,16:00:00
Harry James,History - World History AP,48,6,10:00:00
Bill Sluss,English - Language 2,127,33,13:00:00
John Jacob,Math - Algebra 2,137,116,12:30:00
Jim Jeffs,Technology - Programming  1,112,112,13:30:00
Jessica Taylor,Technology - Programming  3,17,6,12:00:00
Jake Anderson,Math - Algebra 1,105,105,14:30:00
Beverly Thomas,English - Language 1,42,19,11:30:00
Rick White,History - World History AP,7,3,15:00:00
James Harris,Science - Biology 2,27,17,10:30:00
George Martin,Gym 2,45,11,12:30:00
Amy Roebuck,Health 3A,126,15,11:00:00
Harry James,Technology - Programming  2,93,35,15:30:00
Bill Sluss,Math - Algebra 2,10,2,10:00:00
John Jacob,English - Language 2,101,29,08:00:00
Jim Jeffs,History - US History AP,127,42,11:30:00
Jessica Taylor,Science - Geology 2,126,45,11:30:00
Jake Anderson,Gym 1,93,93,12:00:00
Beverly Thomas,Health 3B,130,13,11:00:00
Rick White,Technology - Networking 1,140,77,11:30:00
James Harris,Technology - Networking 2,103,31,10:00:00
George Martin,Technology - Networking 3,20,3,09:30:00
Amy Roebuck,Science - Biology 3,65,20,16:00:00
Harry James,Science - Biology 4,117,39,14:30:00
Bill Sluss,Science - Biology 1,80,37,12:00:00
John Jacob,Health 3A,141,96,11:00:00
Jim Jeffs,Health 2,105,48,10:30:00
Jessica Taylor,Health 1,30,30,12:30:00
Jake Anderson,Science - Geology 1,18,18,11:30:00
Beverly Thomas,History - World History AP,71,20,16:00:00
Rick White,English - Language 2,8,2,14:30:00
James Harris,Math - Algebra 2,30,21,11:30:00
George Martin,Technology - Programming  1,16,4,10:00:00
Amy Roebuck,Technology - Programming  3,26,3,08:00:00
Harry James,Math - Algebra 1,47,32,11:30:00
Bill Sluss,English - Language 1,97,69,11:30:00
John Jacob,History - World History AP,13,3,10:30:00
Jim Jeffs,Science - Biology 2,39,15,11:00:00
Jessica Taylor,Gym 2,13,6,14:00:00
Jake Anderson,Health 3A,63,29,09:00:00
Beverly Thomas,Technology - Programming  2,17,2,10:30:00
Rick White,Math - Algebra 2,11,1,08:00:00
James Harris,English - Language 2,132,66,14:00:00
George Martin,History - US History AP,134,22,12:30:00
Amy Roebuck,Science - Geology 2,120,17,11:00:00
Harry James,Gym 1,98,25,09:30:00
Bill Sluss,Health 3B,134,7,08:00:00
John Jacob,Technology - Networking 1,109,101,11:30:00
Jim Jeffs,Technology - Networking 2,31,16,14:30:00
Jessica Taylor,Technology - Networking 3,14,7,13:00:00
Jake Anderson,Science - Biology 3,140,118,14:30:00
Beverly Thomas,Science - Biology 4,31,7,14:30:00
Rick White,Science - Biology 1,21,11,15:00:00
James Harris,Health 3A,99,93,15:30:00
George Martin,Health 2,135,18,09:30:00
Amy Roebuck,Health 1,31,11,11:30:00
Harry James,Science - Geology 1,9,3,12:30:00
Bill Sluss,History - World History AP,64,8,11:30:00
John Jacob,English - Language 2,17,16,16:00:00
Jim Jeffs,Math - Algebra 2,71,40,10:30:00
Jessica Taylor,Technology - Programming  1,107,107,11:00:00
Jake Anderson,Technology - Programming  3,92,74,12:30:00
Beverly Thomas,Math - Algebra 1,34,7,09:30:00
Rick White,English - Language 1,110,43,09:30:00
James Harris,History - World History AP,68,63,14:30:00
George Martin,Science - Biology 2,71,18,14:00:00
Amy Roebuck,Gym 2,10,2,09:30:00
Harry James,Health 3A,134,46,13:30:00
Bill Sluss,Technology - Programming  2,80,22,14:30:00
John Jacob,Math - Algebra 2,113,65,14:00:00
Jim Jeffs,English - Language 2,6,6,15:30:00
Jessica Taylor,History - US History AP,126,67,14:00:00
Jake Anderson,Science - Geology 2,117,78,15:00:00
Beverly Thomas,Gym 1,115,29,08:30:00
Rick White,Health 3B,139,48,15:00:00
James Harris,Technology - Networking 1,116,116,10:30:00
George Martin,Technology - Networking 2,59,20,14:30:00
Amy Roebuck,Technology - Networking 3,131,17,12:00:00
Harry James,Science - Biology 3,106,14,09:00:00
Bill Sluss,Science - Biology 4,7,3,14:00:00
John Jacob,Science - Biology 1,92,92,12:00:00
Jim Jeffs,Health 3A,88,50,13:30:00
Jessica Taylor,Health 2,82,34,08:30:00
Jake Anderson,Health 1,129,129,15:30:00
Beverly Thomas,Science - Geology 1,92,34,12:30:00
Rick White,History - World History AP,94,11,09:00:00
James Harris,English - Language 2,100,78,14:30:00
George Martin,Math - Algebra 2,39,5,11:30:00
Amy Roebuck,Technology - Programming  1,89,34,10:30:00
Harry James,Technology - Programming  3,69,30,16:00:00
Bill Sluss,Math - Algebra 1,44,18,13:00:00
John Jacob,English - Language 1,20,20,10:30:00
Jim Jeffs,History - World History AP,115,29,10:30:00
Jessica Taylor,Science - Biology 2,66,64,16:00:00
Jake Anderson,Gym 2,64,39,15:00:00
Beverly Thomas,Health 3A,82,12,11:00:00
Rick White,Technology - Programming  2,108,32,14:30:00
James Harris,Math - Algebra 2,96,51,15:30:00
George Martin,English - Language 2,12,2,09:30:00
Amy Roebuck,History - US History AP,149,37,14:00:00
Harry James,Science - Geology 2,72,8,09:00:00
Bill Sluss,Gym 1,144,98,11:30:00
John Jacob,Health 3B,67,43,13:00:00
Jim Jeffs,Technology - Networking 1,106,106,10:30:00
Jessica Taylor,Technology - Networking 2,52,15,10:30:00
Jake Anderson,Technology - Networking 3,11,3,09:00:00
Beverly Thomas,Science - Biology 3,59,5,09:30:00
Rick White,Science - Biology 4,129,42,13:30:00
James Harris,Science - Biology 1,105,105,16:00:00
George Martin,Health 3A,130,23,11:30:00
Amy Roebuck,Health 2,24,3,10:00:00
Harry James,Health 1,18,8,12:30:00
Bill Sluss,Science - Geology 1,120,96,13:00:00
John Jacob,History - World History AP,32,22,12:30:00
